"","Row","Col","Lum","Sample","Rep","ATP"
"1","A",1,2629540,1,1,1.28284960619761
"2","A",2,2721648,1,2,1.33269079540414
"3","A",3,2767308,1,3,1.35742647939295
"4","A",4,2797947,1,4,1.37403525408661
"5","A",5,1115496,9,1,0.474511073401525
"6","A",6,1116699,9,2,0.475145162883878
"7","A",7,1097522,9,3,0.465038704688164
"8","A",8,1046331,9,4,0.438076769103372
"9","B",1,2529234,2,1,1.22865913792063
"10","B",2,2610165,2,2,1.27237518138937
"11","B",3,2663229,2,3,1.30107044037828
"12","B",4,2720356,2,4,1.33199114478386
"13","B",5,2658148,10,1,1.29832170693806
"14","B",6,2698134,10,2,1.31995972062537
"15","B",7,2629520,10,3,1.28283879214728
"16","B",8,2580937,10,4,1.25658046086051
"17","C",1,947293,3,1,0.38598106961899
"18","C",2,1027171,3,2,0.427991395240801
"19","C",3,1110508,3,3,0.471882086476981
"20","C",4,1129964,3,4,0.482137877164244
"21","C",5,2258839,11,1,1.08302860745112
"22","C",6,2257308,11,2,1.08220590698337
"23","C",7,2224932,11,3,1.06481322769852
"24","C",8,2120358,11,4,1.00869953734631
"25","D",1,2415416,4,1,1.16727839258324
"26","D",2,2443808,4,2,1.18257896586798
"27","D",3,2524823,4,3,1.22627816577117
"28","D",4,2523151,4,4,1.22537569837697
"29","D",5,3108992,12,1,1.54312433689495
"30","D",6,3060458,12,2,1.51668317387982
"31","D",7,2974948,12,3,1.47014915517822
"32","D",8,2870537,12,4,1.41341850620453
"33","E",1,2806874,5,1,1.37887598647095
"34","E",2,2900769,5,2,1.42983466893145
"35","E",3,2946289,5,3,1.45456781738107
"36","E",4,2959611,5,4,1.46180980937347
"37","E",5,972709,13,1,0.399341909826637
"38","E",6,966370,13,2,0.396009041228292
"39","E",7,933848,13,3,0.378915568504459
"40","E",8,813649,13,4,0.315821862733204
"41","F",1,2513733,6,1,1.22029277220282
"42","F",2,2564600,6,2,1.24775534441725
"43","F",3,2612628,6,3,1.27370652997531
"44","F",4,2600366,6,4,1.26707897599429
"45","F",5,2468432,14,1,1.19585481834034
"46","F",6,2464575,14,2,1.19377498431875
"47","F",7,2424653,14,3,1.17225545667648
"48","F",8,2332281,14,4,1.12251827346799
"49","G",1,2571609,7,1,1.25154125600833
"50","G",2,2607908,7,2,1.27115523183207
"51","G",3,2671571,7,3,1.305583822192
"52","G",4,2690765,7,4,1.31597098095634
"53","G",5,2856476,15,1,1.40578609721498
"54","G",6,2876444,15,2,1.41662539749991
"55","G",7,2821502,15,3,1.38680967821749
"56","G",8,2755106,15,4,1.35081437585773
"57","H",1,2451538,8,1,1.18674595247501
"58","H",2,2517689,8,2,1.22242774149196
"59","H",3,2573721,8,3,1.25268213951253
"60","H",4,2596781,8,4,1.26514155565595
"61","H",5,2728745,16,1,1.33653426783549
"62","H",6,2725857,16,2,1.33497017929877
"63","H",7,2709455,16,3,1.32608857580259
"64","H",8,2624270,16,4,1.28000022835972
