"","TMRM","BeRST","GCaMP"
"1",15.6782,55.2499,9.7371
"2",15.6037,53.6047,9.7581
"3",15.6269,56.8488,9.6215
"4",15.542,56.7286,9.6778
"5",15.4766,57.2697,9.7076
"6",15.4635,58.914,9.7249
"7",15.4454,59.4914,9.6528
"8",15.4994,58.2128,9.7052
"9",15.5722,59.2501,9.5323
"10",15.4654,60.4426,9.7423
"11",15.4618,60.6407,9.5148
"12",15.5504,57.9407,9.6269
"13",15.5323,56.212,9.5576
"14",15.6167,57.9827,9.5824
"15",15.5407,55.6199,9.6313
"16",15.6241,56.3519,9.6423
"17",15.5795,57.1826,9.5909
"18",15.7065,57.4577,9.5884
"19",15.6008,55.2486,9.5818
"20",15.716,53.8552,9.4652
"21",15.6212,51.9049,9.4559
"22",15.7222,56.7338,9.5398
"23",15.5179,55.4802,9.4404
"24",15.6951,55.0546,9.3957
"25",15.63,55.7218,9.4466
"26",15.5311,57.7856,9.3794
"27",15.697,57.1772,9.3693
"28",15.74,57.1648,9.4255
"29",15.6134,56.6303,9.3024
"30",15.5875,57.722,9.3397
"31",15.5651,56.2713,9.3218
"32",15.4129,54.9733,9.2023
"33",15.5239,54.2136,9.2104
"34",15.5,53.7647,9.3612
"35",15.5174,54.2391,9.2726
"36",15.3764,55.9882,9.1778
"37",15.4046,55.7327,9.2926
"38",15.3027,54.4029,9.2031
"39",15.3515,53.6637,9.2194
"40",15.1209,54.3583,9.1652
"41",15.2294,53.6818,9.22
"42",15.2664,54.875,9.196
"43",15.1581,55.7042,9.215
"44",14.9264,55.1054,9.1306
"45",14.8285,56.4435,9.1908
"46",14.6997,55.494,9.1757
"47",14.554,55.9083,9.1935
"48",14.5017,56.588,9.2227
"49",14.4871,57.1078,9.2207
"50",14.3407,57.4442,9.1551
"51",14.311,56.8347,9.2608
"52",14.361,56.4908,9.3207
"53",14.4547,55.1551,9.3659
"54",14.3754,56.7257,9.3601
"55",14.4118,57.5851,9.3551
"56",14.3793,58.8651,9.3222
"57",14.3882,60.0573,9.3124
"58",14.4324,60.763,9.4056
"59",14.2974,60.979,9.3529
"60",14.3531,60.3846,9.2722
"61",14.3355,60.3299,9.2836
"62",14.2697,60.8313,9.2115
"63",14.2395,60.9652,9.2018
"64",14.3538,60.1425,9.2072
"65",14.4123,61.0259,9.211
"66",14.3724,60.6321,9.1676
"67",14.3082,61.4784,9.1249
"68",14.2636,60.6815,9.1853
"69",14.2084,60.1172,9.1359
"70",14.1974,59.5032,9.0954
"71",14.1812,59.7558,9.0062
"72",14.3197,58.1586,9.0415
"73",14.2514,58.4478,9.0739
"74",14.2264,58.029,9.0829
"75",14.2974,58.8658,8.9809
"76",14.2749,58.2536,8.9604
"77",14.2958,57.207,9.0134
"78",14.2705,56.8034,9.0317
"79",14.241,58.3739,9.0422
"80",14.1644,58.163,9.0599
"81",14.1493,57.2557,8.9381
"82",14.151,56.9005,8.9358
"83",14.1001,57.0429,8.6503
"84",14.0496,56.9634,8.5332
"85",14.0413,57.8528,8.5298
"86",14.0089,56.882,8.4847
"87",14.1086,57.8067,8.4903
"88",14.0231,57.7497,8.4999
"89",14.1124,57.3995,8.4599
"90",14.0414,57.6688,8.4343
"91",14.035,58.0883,8.3817
"92",14.1539,58.3818,8.3841
"93",14.0864,58.7922,8.4367
"94",14.1467,57.9582,8.4125
"95",14.1443,57.715,8.3859
"96",14.1813,57.2934,8.3166
"97",14.0942,56.3761,8.2929
"98",13.9935,57.3475,8.3619
"99",13.9715,56.5297,8.2815
"100",13.8545,56.6288,8.243
"101",13.8595,55.4794,8.2264
"102",14.0734,55.5726,8.334
"103",14.1047,56.0085,8.2652
"104",14.1883,56.0637,8.2413
"105",14.0774,55.0332,8.2684
"106",14.0338,54.7471,8.2718
"107",14.1351,54.6134,8.2615
"108",13.9867,54.3064,8.2498
"109",14.0142,53.3039,8.2525
"110",13.9801,52.7438,8.3594
"111",13.9945,52.4005,8.19
"112",13.9385,53.4768,8.1978
"113",14.0214,53.449,8.2399
"114",13.9903,52.5372,8.2501
"115",13.8998,51.9321,8.3004
"116",13.9814,52.363,8.2326
"117",13.8208,51.9319,8.2751
"118",13.8423,52.043,8.1948
"119",13.9089,50.633,8.2412
"120",13.876,51.3814,8.325
"121",13.8873,52.5096,8.2187
"122",13.846,51.421,8.1999
"123",13.806,50.7719,8.2006
"124",13.8732,50.303,8.2035
"125",13.9168,50.2316,8.2108
"126",13.9311,50.6311,8.1188
"127",14.0093,51.1683,8.247
"128",13.9791,50.5483,8.237
"129",14.09,50.9277,8.1726
"130",13.9903,49.7122,8.211
"131",14.0337,49.5984,8.2002
"132",14.0462,49.2095,8.153
"133",13.9772,49.8491,8.1568
"134",13.9551,48.819,8.1753
"135",14.0097,49.1348,8.2098
"136",14.0144,48.6951,8.176
"137",14.0558,49.0801,8.1763
"138",13.8712,49.1255,8.1803
"139",14.0716,48.8282,8.1336
"140",13.9793,49.2703,8.1217
"141",13.9662,48.5103,8.1804
"142",13.9081,48.3593,8.1536
"143",13.9078,47.0871,8.1916
"144",13.9479,47.491,8.2355
"145",13.8543,46.5152,8.0473
"146",13.945,46.7727,8.1373
"147",14.0256,46.1201,8.1511
"148",13.9975,45.1791,8.2653
"149",14.1316,45.9636,8.2385
"150",13.9866,45.3094,8.0895
"151",13.9691,45.7073,8.1611
"152",14.0031,45.2811,8.1921
"153",14.012,45.0927,8.1723
"154",14.0932,44.6784,8.1861
"155",14.0408,44.5284,8.2248
"156",14.1038,43.6263,8.1563
"157",14.0319,43.1835,8.2126
"158",14.005,43.6864,8.2105
"159",14.0417,43.4275,8.1939
"160",14.0454,43.2612,8.1805
"161",14.0818,42.1558,8.1471
"162",14.0244,41.9216,8.1135
"163",14.2084,42.7836,8.1894
"164",14.0987,42.9967,8.1785
"165",14.1958,42.8166,8.1194
"166",14.0649,43.0758,8.1709
"167",14.0699,43.5666,8.1766
"168",14.1334,43.0948,8.1639
"169",14.1829,42.6848,8.1397
"170",14.0887,42.575,8.1547
"171",14.15,43.2561,8.1394
"172",14.194,43.2768,8.1139
"173",14.1563,43.8262,8.0725
"174",14.2376,43.5608,8.1302
"175",14.1682,43.9593,8.0744
"176",14.1526,44.0201,8.1564
"177",14.1793,43.8584,8.1261
"178",14.1957,43.8311,8.0565
"179",14.2041,43.8587,8.1047
"180",14.1832,44.2189,8.0764
"181",14.2409,43.4076,8.1391
"182",14.2316,43.8095,8.0638
"183",14.2008,43.4001,8.0631
"184",14.216,43.1558,8.0628
"185",14.3248,42.6782,8.0989
"186",14.2559,43.1336,8.1193
"187",14.3562,43.9863,8.1097
"188",14.3251,44.0587,8.1482
"189",14.3013,43.8158,8.0597
"190",14.2568,43.2902,8.1073
"191",14.3314,42.8567,8.0462
"192",14.3197,42.7808,8.0476
"193",14.2519,43.0447,8.0486
"194",14.3364,42.2985,8.0032
"195",14.2904,42.8168,8.018
"196",14.3335,42.487,8.0459
"197",14.3804,42.0698,7.9905
"198",14.3522,41.5971,7.9605
"199",14.2512,42.0916,7.8715
"200",14.2721,41.5903,7.8986
"201",14.2767,41.5324,7.9043
"202",14.3079,41.7984,7.9836
"203",14.3101,41.2621,7.9695
"204",14.2867,41.7421,7.9424
"205",14.2144,41.7496,7.8936
"206",14.3422,41.8939,7.8837
"207",14.2588,41.4784,7.8503
"208",14.2735,41.3001,7.9367
"209",14.2603,41.4482,7.9125
"210",14.3197,41.7726,7.9168
"211",14.337,42.2893,7.8619
"212",14.3229,42.0484,7.9069
"213",14.2617,41.788,7.8356
"214",14.2551,41.8147,7.8821
"215",14.3508,41.8239,7.882
"216",14.2809,42.0514,7.8413
"217",14.3345,41.42,7.9214
"218",19.985,37.7766,7.3221
"219",22.5972,38.2947,7.3795
"220",23.462,38.1308,7.4026
"221",23.8465,38.1064,7.3495
"222",24.1621,37.8856,7.3728
"223",24.0786,38.0229,7.3316
"224",24.3088,38.6023,7.3101
"225",24.1867,38.1409,7.3623
"226",24.0787,38.292,7.3454
"227",24.0172,38.8443,7.2595
"228",24.0319,38.9202,7.3018
"229",23.8423,39.0633,7.2911
"230",23.7471,38.712,7.231
"231",23.6819,38.2016,7.2424
"232",23.4131,38.7875,7.2857
"233",23.4775,37.9862,7.2453
"234",23.4355,38.5567,7.2977
"235",23.3456,38.9941,7.2737
"236",23.1245,38.6505,7.3189
"237",22.9879,39.1897,7.3218
"238",23.0023,39.1344,7.2779
"239",22.933,38.8931,7.2178
"240",22.8244,38.6773,7.2276
"241",22.7895,38.9208,7.2452
"242",22.5898,38.9471,7.2198
"243",22.4773,39.1011,7.2411
"244",20.238,43.1504,7.9521
"245",16.004,42.0751,7.7491
"246",14.8368,41.9402,7.6237
"247",14.4958,41.6524,7.6116
"248",14.2094,41.7742,7.5888
"249",14.0968,42.63,7.6305
"250",14.0291,42.4946,7.6237
"251",14.0168,41.7489,7.5988
"252",14.028,42.0441,7.5452
"253",14.031,41.3611,7.5613
"254",13.973,41.3455,7.5622
"255",13.9831,41.8457,7.5732
"256",13.9699,41.0852,7.628
"257",14.0788,40.7232,7.6586
"258",14.0237,40.2752,7.5549
"259",14.0878,40.605,7.5948
"260",14.0728,40.0866,7.5153
"261",14.0951,40.4877,7.5621
"262",14.0379,40.3185,7.5375
"263",14.0556,40.7702,7.5578
"264",14.0545,40.4076,7.5936
"265",14.1486,40.6204,7.5463
"266",14.0939,40.8278,7.5271
"267",14.1575,40.0003,7.5778
"268",14.1103,40.1139,7.5449
"269",14.2236,39.9374,7.5316
"270",14.2264,39.5719,7.4918
"271",14.2215,40.0797,7.622
"272",14.2258,40.1347,7.4813
"273",14.2294,40.8599,7.5194
"274",14.326,40.2897,7.5092
"275",14.22,41.5516,7.5427
"276",14.5313,41.6395,7.5034
"277",14.555,40.7791,7.5486
"278",14.547,40.467,7.5583
"279",14.5413,39.9767,7.5148
"280",14.5683,39.7051,7.5279
