MQAE,TMRM
7.7243,16.4889
7.7008,16.7227
7.6738,16.6129
7.7349,16.6603
7.6448,16.8441
7.6996,16.8361
7.6546,16.9303
7.6256,16.9648
7.5999,17.1353
7.7728,17.1003
7.6275,17.1426
7.5889,17.1754
7.6837,17.1561
7.6658,17.3216
7.6695,17.2533
7.6685,17.4057
7.6853,17.4939
7.5884,17.534
7.5782,17.5684
7.6735,17.7486
7.6957,17.6634
7.7343,17.8703
7.6676,17.9472
7.6264,17.8313
7.6233,18.0266
7.6474,18.0459
7.6567,18.2352
7.753,18.2591
7.6813,18.2481
7.6156,18.5963
7.6399,18.6274
7.705,18.5933
7.5914,18.8068
7.7307,18.8094
7.6543,18.8831
7.6977,19.0122
7.7323,19.1044
7.6281,19.6038
7.6492,21.0279
7.6898,23.3193
7.6152,25.3102
7.6739,26.4603
7.6925,26.9401
7.6483,26.9438
7.7091,26.6685
7.6422,26.0867
7.6537,22.3822
7.5963,19.4122
7.6448,18.1599
7.7003,17.3522
7.727,17.2258
7.6733,17.0227
7.6017,16.9676
7.6142,16.8212
7.6207,16.8783
7.7028,16.8402
7.7354,17.0283
7.653,16.9607
7.6006,17.0845
7.6488,17.08
7.6552,17.1676
7.7136,17.357
7.6166,17.2449
7.6196,17.4663
7.6118,17.4209
7.6644,17.4203
7.6595,17.4335
7.6296,17.5362
7.6403,17.7001
7.6849,17.5944
7.6422,17.7543
7.6684,17.8605
7.6392,17.7887
7.615,17.9331
7.6146,17.859
7.6858,17.9125
7.5758,18.1196
7.5775,18.1124
7.6194,18.0262
7.5535,18.1614
7.6657,18.2363
7.5787,18.3609
7.6042,18.4415
7.6873,18.3216
7.6902,18.7096
7.6273,18.6347
7.5749,18.7028
7.5977,18.7789
7.61,18.9158
7.7362,18.8002
7.663,19.0591
7.6321,19.2783
7.5988,19.6876
7.6793,21.0254
7.5985,23.4372
7.6193,25.5519
7.7449,27.1005
7.6244,27.6584
7.5895,27.5006
7.622,27.5079
7.6774,27.2047
7.5951,26.4734
7.5722,23.1549
7.5799,20.053
7.6651,18.5779
7.6097,17.8467
7.599,17.6417
7.5501,17.3473
7.6129,17.3182
7.479,17.1057
7.6138,17.1341
7.6293,17.0631
7.5937,17.1908
7.5578,17.4049
7.6886,17.3516
7.6226,17.5642
7.5741,17.5476
7.6591,17.6557
7.5639,17.7997
7.6647,17.9208
7.7021,17.9412
7.7013,18.1232
7.6106,18.2627
7.6264,18.3158
7.6008,18.3206
7.6083,18.4534
7.608,18.6965
7.6321,18.7004
7.6575,18.9522
7.5532,19.0328
7.6657,19.1988
